trial,best_val_loss,test_loss,best_epoch,terminating_epoch,lr,beta1,beta2,eps,weight_decay,dropout,leaky_relu_alpha
0,0.07862214832305908,0.07686556587219238,920,936,2.932248474919265e-05,0.9686407231712125,0.9763010844357638,5.823808382847424e-09,9.588272061157046e-05,0.2302506217464817,0.06864336754504867
1,0.08367188076972962,0.08872601544857026,40,60,0.00552696517747045,0.8631403421483929,0.9028319129045485,3.215846508121116e-07,5.383544058313562e-05,0.38351724040439156,0.010189544801599962
2,0.08657578622102738,0.08016624348163605,90,108,0.0003537246121192219,0.9510156045277095,0.9228533459049182,6.851916891429522e-07,0.004033757913744142,0.024989091686441235,0.012290127489411473
3,0.08598129323720932,0.08780681116580963,60,80,0.0007630567117809475,0.9814808827889915,0.9380823033450525,4.464760747710369e-09,4.880522309513963e-05,0.024229985911685292,0.029952249964573158
4,0.07308326507806778,0.07630757063627243,124,140,0.0003331104514678443,0.919413713793459,0.9232851365807315,4.92719357335566e-09,7.50108608066958e-06,0.23520569821148946,0.036080345313143705
5,0.16555924422740936,0.15880177946090698,1000,1000,1.187742538808883e-05,0.9672609165927601,0.9555897868329781,8.45051328417008e-08,5.541470984448847e-06,0.4963462719662719,0.08739518759157609
6,0.07749140366315842,0.07851339659690856,996,1000,2.6323828258675697e-05,0.8965773259504181,0.9720762923175685,1.360113994190613e-07,0.0055688093149488796,0.21683242998109345,0.08470321239468943
7,0.07498443148136139,0.07641923434734345,25,45,0.002141577188100154,0.8924715915306084,0.9586993025537416,4.4405524332123933e-07,0.0024254351864780193,0.2575890720840042,0.06301020321842965
8,0.11961652572154999,0.11465541846752167,1000,1000,1.3184100285754039e-05,0.8839835962960294,0.9796606843306749,1.7496130038657454e-08,4.920730796826684e-06,0.27891139308019497,0.07327366858590684
9,0.07734639415740967,0.08153358399868012,25,45,0.0022144660028235166,0.9024584228702296,0.9438522668414518,3.351810558925638e-08,0.0012994825739790947,0.2652598246304411,0.045392958546780354
10,0.07637170968055725,0.0773119964003563,85,104,0.000504340388093819,0.8541404949553669,0.9043443803066171,1.2886834936555854e-07,0.0085654635093165,0.3006600278862282,0.045423971774012264
11,0.08662764095067978,0.08393781802654267,888,904,3.911333188790149e-05,0.9203133981806876,0.9981094560900996,2.04912956543823e-07,0.00014403558266329008,0.4315419916710693,0.030895851525671314
12,0.08205088782310486,0.07975774296522141,95,112,0.0006115702771227282,0.9833454343575577,0.9577217012993402,2.3844882995350608e-08,1.1943123129824686e-05,0.278518191638462,0.09614046533142043
13,0.15863693253993988,0.15234615035057067,1000,1000,1.0467701636913324e-05,0.9597117325661546,0.9819665426013556,4.5555282324213993e-07,0.0009162492820199408,0.406478551427515,0.05668104551707019
14,0.07675871961116791,0.07647542432546615,40,60,0.0008951779232108928,0.9096526951563411,0.905606717422322,4.07408856319116e-07,0.00019054490275683677,0.1079213158868001,0.055424842068597706
15,0.07792487539052963,0.07658479619026184,80,100,0.0004854487807730687,0.8999505950362938,0.9345731841099136,4.125118104967298e-08,0.00031185866195053197,0.31010170774353557,0.0512332120089752
16,0.13969913065433504,0.13421316361427307,1000,1000,1.2510435027672047e-05,0.8821447043787833,0.9177034047679644,5.6673836422319116e-08,0.0027799401335167496,0.40123508088293874,0.08173878063719467
17,0.09132664513587951,0.09009591751098633,15,35,0.006900042001003686,0.8857411656122228,0.9840903087441822,1.045539816355733e-07,2.152467244412848e-06,0.018178408756624204,0.011310397743233109
18,0.08999397778511048,0.0887896612882614,20,40,0.004239033376177858,0.8849382915914792,0.9109379138667065,7.48869688782607e-08,2.3861154698039014e-05,0.04406253548011519,0.02436629722244628
19,0.07535494132041931,0.07385159010887146,50,70,0.0006819705095274921,0.87354029247114,0.9272641522381861,1.3638599660933263e-07,6.588802962111528e-05,0.1677808655297897,0.05263939127532511
20,0.14975385484695436,0.14390064804553987,1000,1000,1.208315348862606e-05,0.9041179946666058,0.9420497760529867,3.6653707874295877e-09,2.7229945353878553e-06,0.4509110651744499,0.05591043828358088
21,0.07863000483512879,0.07598529169559479,488,504,5.3337755270377274e-05,0.9347908096047624,0.9816222628709509,1.1546605433947814e-09,1.1788487391122589e-06,0.08176625279567953,0.07469519254856109
22,0.09783617497682572,0.09362711205482482,888,904,3.606872311400484e-05,0.9486447878992803,0.9677497619481671,4.3063219027510955e-08,7.62779463810881e-06,0.48804131373076287,0.08180297719355359
23,0.07733910582065583,0.07430763982534408,55,75,0.0006255746773070192,0.8812474092345339,0.9647857911681157,1.530009155332916e-08,0.00020108693341462855,0.1674104465791114,0.06678530751442123
24,0.11885335055589676,0.11305048081874848,1000,1000,1.6010429295359905e-05,0.8918048329472219,0.9966935406840738,4.232556193293917e-07,1.6809178200505473e-05,0.43067205911471407,0.03793272646178207
25,0.11275657911300659,0.11613966336250305,20,40,0.018450994172605716,0.954137896613397,0.9415756090502261,5.715764237866666e-09,1.0812373759070258e-06,0.44057177012233484,0.013412487753872254
26,0.0984421539902687,0.10127310521602631,45,65,0.007066465133064234,0.9847081575253145,0.9569710289674935,3.2700266007093226e-09,0.002958858916473653,0.4871498657182489,0.07336208280970642
27,0.07477121280431748,0.07784478362798691,70,90,0.0005880519825102495,0.9029156368081052,0.9346583953678059,4.142717051338006e-09,0.00049729266899998,0.22214555933915497,0.02747067804866707
28,0.1029934175848961,0.09871928055286408,1000,1000,2.3072554725077947e-05,0.9432340539590156,0.9295776600410068,3.1579101322999177e-08,2.0016245522302724e-05,0.43709453863754205,0.0909710442671303
29,0.12158298376798629,0.11447015044689178,1000,1000,1.1558766696689236e-05,0.8781194216017063,0.9327412964391172,9.144272377797877e-07,0.0013514547309475438,0.17615686744695752,0.02917268167427324
